,hotel,clean,comfort,location,services,staff,value,wifi
166,pushcha-congress.uk.html,9.2,8.7,9.0,8.8,9.0,8.4,9.5
167,alaska.uk.html,7.8,8.0,7.5,7.8,8.2,8.2,9.1
168,luxury-apartments-arena-guliver.uk.html,9.3,9.4,9.5,9.4,8.9,9.4,
169,mega-city-kyiv1.uk.html,7.3,6.8,6.6,6.8,7.6,7.1,8.2
170,apart-basseynaya.uk.html,9.0,9.5,8.6,8.4,8.6,8.2,8.8
171,sky-view-kyiv-railway-station.uk.html,9.4,9.3,9.1,8.6,9.4,8.4,
172,sofievsky-posad.uk.html,9.4,8.2,9.2,9.1,9.4,8.9,9.1
173,summit-apart.uk.html,9.6,9.8,9.3,9.2,9.3,9.0,9.4
174,smart-house-smart-kvartira-s-kukhnei-vozle-metro.uk.html,9.4,7.7,8.7,9.0,8.8,9.0,
175,sherborne.uk.html,9.4,9.1,9.0,8.9,9.5,9.0,9.0
176,alaska-fox.uk.html,9.0,8.8,8.8,8.6,8.9,8.9,10.0
177,raziotel-kyiv.uk.html,9.1,8.3,8.5,8.5,8.9,8.6,8.9
178,asteri.uk.html,9.3,8.6,9.0,8.8,9.0,8.6,8.6
179,hostel-comfort.uk.html,8.8,6.2,8.2,8.3,9.0,8.6,8.2
180,obolon-sky.uk.html,9.1,9.0,8.6,8.8,9.1,8.3,9.6
181,vozdvyzhensky-boutique.uk.html,9.3,9.4,8.7,8.6,9.3,8.1,9.0
182,two-bedrooms-apartment-near-metro-pecherska.uk.html,8.1,8.8,8.6,8.4,9.0,8.4,
183,victorya.uk.html,8.0,7.1,7.7,7.8,8.4,7.8,7.5
184,hyatt-regency-kyiv.uk.html,9.3,9.4,9.1,9.0,9.1,7.4,7.3
185,mini-otele-luzhevskii.uk.html,7.0,6.9,6.8,6.9,8.6,7.6,7.5
186,hilton-kyiv.uk.html,9.4,8.9,9.2,9.0,9.0,7.8,8.9
187,city-park-kiev.uk.html,9.0,8.2,8.5,8.2,9.0,7.9,8.8
188,sunflower-b-amp-b.uk.html,9.3,9.6,8.7,8.4,9.4,8.4,9.0
189,partner-guest-house.uk.html,8.0,9.4,8.2,8.2,8.5,8.1,9.0
190,west-park.uk.html,9.4,7.7,9.0,8.9,9.2,9.0,8.4
191,otel-wow.uk.html,9.1,9.3,8.7,8.4,9.2,8.6,
192,mini-ghotiel-na-pozniakakh.uk.html,7.9,8.2,7.7,7.4,7.9,7.5,7.9
193,bogdan-hmelnytskyi.uk.html,7.1,8.7,7.2,6.9,8.1,7.9,7.3
194,andrieievskaia-mansarda.uk.html,8.3,8.8,7.7,7.3,7.7,7.5,
195,gotiel-quot-art-gotiel-quot.uk.html,6.5,7.2,6.5,6.5,8.0,6.9,8.0
196,trias.uk.html,8.9,8.1,8.3,8.3,8.8,8.9,8.3
197,fortetsya-hetman.uk.html,9.2,8.2,8.9,8.9,9.2,8.8,8.7
198,hostynnist.uk.html,6.5,6.6,6.6,6.4,7.7,6.7,5.6
199,sovskie-prudy.uk.html,7.9,7.2,7.8,7.5,8.5,7.7,8.5
200,tiso-aparthotel.uk.html,9.1,8.7,8.8,8.6,9.3,8.6,8.7
201,greenstyle.uk.html,8.5,7.7,7.9,7.8,8.6,8.7,8.4
202,stan-gret.uk.html,9.4,8.7,8.7,8.3,9.1,8.3,9.1
203,mini-seventh-heaven-on-shorsa.uk.html,9.6,9.3,9.2,9.2,9.6,8.9,9.1
204,adler-kiev.uk.html,6.7,7.0,6.5,6.7,7.7,7.2,7.9
205,mini-elegant.uk.html,8.5,8.4,7.1,7.8,8.2,6.6,
206,lavilia-kiev.uk.html,8.5,8.0,8.2,8.2,9.0,8.2,7.9
207,sunlake-osokorki.uk.html,8.0,6.3,7.8,7.5,8.5,7.8,7.2
208,secret-apartments.uk.html,9.3,9.5,8.9,9.1,9.0,8.8,
209,v-s-apart-central-plaza.uk.html,4.2,8.4,4.3,4.2,5.2,4.6,
210,senator-apartments-maidan.uk.html,9.5,9.7,9.4,9.0,9.3,8.6,8.6
211,campus-mta.uk.html,9.5,8.1,8.8,8.8,9.2,9.0,7.5
212,desna-kut.uk.html,7.1,7.0,6.8,6.9,7.9,7.4,7.5
213,gostinitsa-ekonom-klassa.uk.html,6.8,6.7,6.7,6.8,7.7,7.5,
214,apart-lake-apartments.uk.html,9.7,8.8,9.3,9.2,9.4,9.2,8.5
215,scandinavian-design-apartments.uk.html,9.5,9.6,9.1,9.1,9.3,8.8,9.2
216,and-recreation-complex-vikey.uk.html,8.4,7.0,8.3,8.1,8.3,8.1,8.7
